,genres
488,"['drama', 'comedy', 'crime']"
489,['drama']
490,"['action', 'animation', 'fantasy']"
491,"['fantasy', 'animation', 'action']"
492,"['action', 'animation', 'fantasy']"
493,"['thriller', 'crime', 'drama']"
494,"['fantasy', 'horror', 'comedy', 'family']"
495,"['drama', 'comedy', 'romance']"
496,"['comedy', 'documentation']"
497,"['thriller', 'crime', 'action', 'european']"
498,"['drama', 'music']"
499,"['romance', 'drama']"
500,['comedy']
501,"['action', 'animation', 'comedy', 'drama', 'fantasy']"
502,"['romance', 'crime', 'comedy']"
503,"['thriller', 'european', 'crime', 'drama']"
504,"['thriller', 'fantasy', 'action', 'comedy']"
505,"['comedy', 'crime']"
506,"['fantasy', 'drama', 'animation', 'action']"
507,"['comedy', 'drama', 'history', 'crime']"
508,"['animation', 'comedy', 'european']"
509,"['drama', 'european']"
510,"['thriller', 'scifi', 'horror']"
511,"['thriller', 'comedy', 'drama', 'romance']"
512,"['comedy', 'european']"
513,"['drama', 'comedy']"
514,"['drama', 'comedy', 'romance']"
515,"['drama', 'crime', 'thriller', 'action']"
516,"['comedy', 'thriller', 'romance', 'drama']"
517,"['animation', 'family', 'european']"
518,"['drama', 'romance']"
519,['documentation']
520,"['comedy', 'drama', 'action', 'crime']"
521,"['romance', 'comedy', 'drama']"
522,"['drama', 'romance']"
523,['documentation']
524,"['crime', 'action', 'drama', 'history']"
525,"['comedy', 'documentation']"
526,"['thriller', 'action', 'crime']"
527,"['drama', 'family', 'romance']"
528,"['comedy', 'crime']"
529,"['comedy', 'documentation']"
530,['comedy']
531,"['drama', 'comedy', 'romance', 'thriller', 'crime']"
532,"['fantasy', 'action', 'comedy', 'animation']"
533,"['drama', 'european', 'comedy', 'war']"
534,"['comedy', 'drama']"
535,"['animation', 'comedy', 'family']"
536,"['drama', 'romance']"
537,"['war', 'documentation']"
538,['animation']
539,"['action', 'animation', 'fantasy']"
540,"['thriller', 'crime', 'drama', 'romance', 'action']"
541,"['romance', 'documentation', 'drama', 'european']"
542,"['drama', 'romance', 'thriller', 'action', 'comedy']"
543,"['romance', 'comedy']"
544,"['comedy', 'documentation']"
545,"['fantasy', 'drama', 'romance', 'comedy']"
546,"['comedy', 'drama', 'romance']"
547,['drama']
548,"['fantasy', 'thriller', 'animation', 'action']"
549,"['drama', 'comedy', 'romance']"
550,"['drama', 'crime', 'action', 'thriller']"
551,['comedy']
552,"['comedy', 'documentation']"
553,"['scifi', 'comedy']"
554,"['drama', 'comedy', 'romance']"
555,"['drama', 'comedy', 'family']"
556,"['comedy', 'drama', 'romance']"
557,"['action', 'drama', 'crime']"
558,"['drama', 'comedy', 'crime', 'romance']"
559,"['action', 'animation', 'comedy']"
560,['horror']
561,"['drama', 'comedy']"
562,"['comedy', 'drama', 'romance']"
563,"['thriller', 'crime', 'drama']"
564,['crime']
565,['documentation']
566,"['romance', 'drama']"
567,['comedy']
568,"['thriller', 'drama', 'romance']"
569,['comedy']
570,['comedy']
571,"['action', 'comedy', 'romance']"
572,"['drama', 'sport', 'thriller']"
573,"['romance', 'drama', 'european']"
574,"['action', 'drama', 'thriller']"
575,"['thriller', 'drama', 'music']"
576,"['comedy', 'drama', 'romance']"
577,"['romance', 'drama']"
578,"['drama', 'comedy']"
579,"['drama', 'romance', 'war', 'action']"
580,['comedy']
581,['drama']
582,"['drama', 'music']"
583,"['drama', 'comedy', 'crime']"
584,"['romance', 'comedy', 'drama']"
585,"['comedy', 'drama', 'romance']"
586,"['drama', 'comedy', 'romance']"
587,"['action', 'crime', 'horror', 'thriller', 'war']"
588,"['action', 'comedy', 'crime', 'drama', 'thriller']"
589,"['horror', 'thriller']"
590,"['thriller', 'drama', 'action', 'crime']"
591,"['thriller', 'action', 'crime', 'drama', 'romance', 'sport']"
592,"['thriller', 'crime', 'romance', 'comedy', 'drama']"
593,"['animation', 'fantasy', 'action', 'romance', 'comedy']"
594,"['family', 'animation']"
595,"['drama', 'thriller', 'comedy']"
596,"['comedy', 'drama']"
597,"['drama', 'crime', 'action']"
598,"['comedy', 'drama', 'romance']"
599,['drama']
600,"['thriller', 'action', 'crime', 'drama']"
601,"['documentation', 'history']"
602,"['drama', 'comedy', 'romance']"
603,"['drama', 'thriller']"
604,"['drama', 'history', 'action']"
605,"['romance', 'drama', 'european', 'war']"
606,"['drama', 'action', 'thriller', 'crime', 'comedy']"
607,['drama']
608,['comedy']
609,"['drama', 'comedy', 'family']"
610,"['thriller', 'action']"
611,"['drama', 'thriller', 'crime']"
612,['documentation']
613,"['documentation', 'crime']"
614,"['drama', 'war', 'action']"
615,['comedy']
616,['drama']
617,"['drama', 'romance', 'comedy']"
618,"['action', 'drama', 'comedy', 'crime']"
619,"['drama', 'comedy']"
620,"['comedy', 'crime', 'drama']"
621,"['animation', 'action']"
622,"['thriller', 'drama', 'horror']"
623,['drama']
624,['animation']
625,['documentation']
626,['drama']
627,"['drama', 'romance', 'comedy']"
628,"['comedy', 'drama', 'thriller']"
629,"['comedy', 'drama']"
630,['drama']
631,"['comedy', 'drama', 'family']"
632,"['comedy', 'action', 'drama', 'fantasy']"
633,['drama']
634,"['horror', 'thriller', 'drama', 'romance']"
635,"['drama', 'family', 'fantasy', 'comedy']"
636,"['drama', 'romance', 'comedy']"
637,"['drama', 'comedy', 'romance']"
